Time,X,Y,Z
5430,1.2417232990,2.0620365143,0.1184457541
5440,1.2418116331,2.0623514652,0.1197464094
5450,1.2416975498,2.0622060299,0.1203263849
5460,1.2416343689,2.0623311996,0.1208271831
5470,1.2415885925,2.0620691776,0.1214245111
5480,1.2413389683,2.0617551804,0.1252777129
5490,1.2412514687,2.0613727570,0.1260952055
5500,1.2410894632,2.0607910156,0.1269537956
5510,1.2413538694,2.0606057644,0.1277618855
5520,1.2410907745,2.0602238178,0.1287984699
5530,1.2410160303,2.0605225563,0.1305323541
5540,1.2410118580,2.0612602234,0.1314802766
5550,1.2412341833,2.0628573895,0.1317133904
5560,1.2408664227,2.0609261990,0.1366344988
5570,1.2411826849,2.0620934963,0.1346365809
5580,1.2416172028,2.0621116161,0.1354818195
5590,1.2435637712,2.0634799004,0.1364742666
5600,1.2436794043,2.0630366802,0.1379232258
5610,1.2426069975,2.0631158352,0.1403647661
5620,1.2428708076,2.0627200603,0.1395351887
5630,1.2424407005,2.0622403622,0.1420971602
5640,1.2438329458,2.0621926785,0.1441231221
5650,1.2431852818,2.0618188381,0.1453203261
5660,1.2431405783,2.0608131886,0.1426486671
5670,1.2419459820,2.0613687038,0.1437791586
5680,1.2420566082,2.0617737770,0.1445197910
5690,1.2448577881,2.0596096516,0.1466342956
5700,1.2428431511,2.0603713989,0.1475047022
5710,1.2429984808,2.0584883690,0.1481001377
5720,1.2461078167,2.0596270561,0.1506438702
5730,1.2461390495,2.0622587204,0.1523268670
5740,1.2465031147,2.0626862049,0.1530466825
5750,1.2468549013,2.0653402805,0.1475765407
5760,1.2482604980,2.0628340244,0.1525859535
5770,1.2489756346,2.0625343323,0.1530365348
5780,1.2484331131,2.0624084473,0.1548184454
5790,1.2476799488,2.0605421066,0.1482020468
